category_id,Category,Domain,Baseline (kg CO₂e/cap),Behavioural reduction,Technological reduction,Combined reduction,Max adoption (L),Adoption speed (k),Inflection year (t₀),Assumption note,Activity metric,Activity unit,"Baseline activity M0,c","Baseline intensity I0,c (kgCO2e/unit)",Activity data source,Confidence flag
other_consumption_other_personal_effects_n_e_c,Other consumption - Other personal effects n.e.c.,Other consumption,14.23978,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,1232,"SEK/cap/year (national average, 2021)",845.1,0.01685,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_spirits,Food and drink - Spirits,Food and drink,13.04753,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,0211,"SEK/cap/year (national average, 2021)",1015.8,0.01284,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_passenger_transport_by_rail_and_tram,Local transport - Passenger transport by rail and tram,Local transport,12.47695,0.0,0.7,0.7,1.0,0.2,2029,,0731,"SEK/cap/year (national average, 2021)",453.8,0.02749,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - Tram not separately coded; rail proxy used
other_consumption_jewellery_and_watches,Other consumption - Jewellery and watches,Other consumption,12.24788,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,1231,"SEK/cap/year (national average, 2021)",799.4,0.01532,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_bicycles,Local transport - Bicycles,Local transport,11.50822,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0713,"SEK/cap/year (national average, 2021)",304.0,0.03786,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_outpatient_dental_services,Other consumption - Outpatient dental services,Other consumption,10.06935,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0622,"SEK/cap/year (national average, 2021)",1703.7,0.00591,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_other_services,Other consumption - Other services,Other consumption,9.468639,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,127,"SEK/cap/year (national average, 2021)",1792.3,0.00528,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - Catch-all: legal/employment agency fees; imprecise proxy
other_consumption_medical_aids_and_maintenance,Other consumption - Medical aids and maintenance,Other consumption,9.377794,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0613,"SEK/cap/year (national average, 2021)",962.9,0.00974,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_cultural_services,"Leisure, sport and culture - Cultural services","Leisure, sport and culture",8.467172,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0942,"SEK/cap/year (national average, 2021)",4390.4,0.00193,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_home_care_for_older_people_and_people_with_disabilities,Other consumption - Home care for older people and people with disabilities,Other consumption,7.755833,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,12402,"SEK/cap/year (national average, 2021)",1611.7,0.00481,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - 12402 'care and help for elderly' only; disability home care not separately coded
leisure_sport_and_culture_newspapers_and_periodicals,"Leisure, sport and culture - Newspapers and periodicals","Leisure, sport and culture",7.724998,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0952,"SEK/cap/year (national average, 2021)",1204.8,0.00641,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_books,"Leisure, sport and culture - Books","Leisure, sport and culture",7.58624,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0951,"SEK/cap/year (national average, 2021)",735.1,0.01032,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_other_outpatient_care_services,Other consumption - Other outpatient care services,Other consumption,7.461947,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,"0621, 0623","SEK/cap/year (national average, 2021)",1511.5,0.00494,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_direct_household_emissions,Housing - Direct household emissions,Housing,7.144203,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,Other household fuel combusted (direct),physical fuel/vehicle-use volume (not separately quantified),,,"Statistics Sweden direct-emissions series (physical, non-monetary)",DIRECT - already activity-linked in source data; SEK not applicable
food_and_drink_low_and_medium_strength_beer,Food and drink - Low- and medium-strength beer,Food and drink,6.550008,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,02132,"SEK/cap/year (national average, 2021)",273.2,0.02398,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_parking_services,Local transport - Parking services,Local transport,5.832175,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,07244,"SEK/cap/year (national average, 2021)",811.2,0.00719,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_water,Food and drink - Water,Food and drink,5.704631,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0122,"SEK/cap/year (national average, 2021)",201.4,0.02833,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 0122 combined with Soft drinks & Fruit/veg juices | SEK/cap split proportionally to baseline emissions share across 3 peers.
leisure_sport_and_culture_writing_and_drawing_materials,"Leisure, sport and culture - Writing and drawing materials","Leisure, sport and culture",5.603584,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0954,"SEK/cap/year (national average, 2021)",203.8,0.0275,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_residential_care_for_older_people_and_people_with_disabilities_excluding,"Other consumption - Residential care for older people and people with disabilities, excluding health care",Other consumption,5.168192,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,12403,"SEK/cap/year (national average, 2021)",2736.2,0.00189,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - Best available proxy (personal assistance); residential care not separately coded
