scenario_id,scenario_name,year,category_id,category,domain,baseline_kgco2e_per_capita,adoption_fraction,combined_reduction_fraction,emissions_kgco2e_per_capita,reduction_kgco2e_per_capita
S1,Scenario 1,2026,food_and_drink_tea_mate_and_other_herbal_teas,"Food and drink - Tea, maté and other herbal teas",Food and drink,3.254937,0.0,0.0,3.254937,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_photographic_and_optical_equipment,"Leisure, sport and culture - Photographic and optical equipment","Leisure, sport and culture",3.108459,0.0,0.0,3.108459,0.0
S1,Scenario 1,2026,other_consumption_education_services,Other consumption - Education services,Other consumption,2.819503,0.0,0.0,2.819503,0.0
S1,Scenario 1,2026,housing_actual_rents_for_other_dwellings_garages_and_storage,"Housing - Actual rents for other dwellings, garages and storage",Housing,2.796477,0.0,0.0,2.796477,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_audiovisual_media,"Leisure, sport and culture - Audiovisual media","Leisure, sport and culture",1.877962,0.0,0.0,1.877962,0.0
S1,Scenario 1,2026,other_consumption_software,Other consumption - Software,Other consumption,1.896521,0.0,0.0,1.896521,0.0
S1,Scenario 1,2026,local_transport_postal_and_courier_services,Local transport - Postal and courier services,Local transport,1.636122,0.0,0.0,1.636122,0.0
S1,Scenario 1,2026,food_and_drink_other_alcoholic_beverages,Food and drink - Other alcoholic beverages,Food and drink,1.514244,0.0,0.0,1.514244,0.0
S1,Scenario 1,2026,local_transport_driving_lessons_driving_licences_and_vehicle_inspections,"Local transport - Driving lessons, driving licences and vehicle inspections",Local transport,1.354722,0.0,0.0,1.354722,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_musical_instruments,"Leisure, sport and culture - Musical instruments","Leisure, sport and culture",1.248173,0.0,0.0,1.248173,0.0
S1,Scenario 1,2026,food_and_drink_chocolate_drinks,Food and drink - Chocolate drinks,Food and drink,0.902968,0.0,0.0,0.902968,0.0
S1,Scenario 1,2026,local_transport_road_tolls,Local transport - Road tolls,Local transport,0.802085,0.0,0.0,0.802085,0.0
S1,Scenario 1,2026,other_consumption_inpatient_curative_and_rehabilitative_services,Other consumption - Inpatient curative and rehabilitative services,Other consumption,0.834667,0.0,0.0,0.834667,0.0
S1,Scenario 1,2026,other_consumption_childcare_services,Other consumption - Childcare services,Other consumption,0.747856,0.0,0.0,0.747856,0.0
S1,Scenario 1,2026,local_transport_other_passenger_transport_services,Local transport - Other passenger transport services,Local transport,0.566234,0.0,0.0,0.566234,0.0
S1,Scenario 1,2026,other_consumption_preventive_care_services,Other consumption - Preventive care services,Other consumption,0.522673,0.0,0.0,0.522673,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_miscellaneous_printed_matter,"Leisure, sport and culture - Miscellaneous printed matter","Leisure, sport and culture",0.504459,0.0,0.0,0.504459,0.0
S1,Scenario 1,2026,other_consumption_religious_and_ritual_articles,Other consumption - Religious and ritual articles,Other consumption,0.42365,0.0,0.0,0.42365,0.0
S1,Scenario 1,2026,housing_liquid_fuels,Housing - Liquid fuels,Housing,0.368585,0.0,0.0,0.368585,0.0
S1,Scenario 1,2026,housing_solid_fuels,Housing - Solid fuels,Housing,0.21005,0.0,0.0,0.21005,0.0
S1,Scenario 1,2026,other_consumption_laboratory_services_and_imaging,Other consumption - Laboratory services and imaging,Other consumption,0.085201,0.0,0.0,0.085201,0.0
S1,Scenario 1,2026,clothing_and_shoes_laundry_repair_and_rental_of_clothing,"Clothing and shoes - Laundry, repair and rental of clothing",Clothing and shoes,0.065814,0.0,0.0,0.065814,0.0
S1,Scenario 1,2026,clothing_and_shoes_cleaning_repair_and_rental_of_footwear,"Clothing and shoes - Cleaning, repair and rental of footwear",Clothing and shoes,0.057527,0.0,0.0,0.057527,0.0
S1,Scenario 1,2026,carbon_capture,Carbon capture,Carbon capture placeholder,0.0,0.0,0.0,0.0,0.0
S1,Scenario 1,2026,housing_gas,Housing - Gas,Housing,0.002579,0.0,0.0,0.002579,0.0
S1,Scenario 1,2027,flights_passenger_flights,Flights - Passenger flights,Flights,849.8395,0.0,0.0,849.8395,0.0
S1,Scenario 1,2027,housing_district_heating_and_other_energy_for_heating_and_cooling,Housing - District heating and other energy for heating and cooling,Housing,506.3924,0.0,0.0,506.3924,0.0
S1,Scenario 1,2027,local_transport_direct_emissions_from_vehicle_use,Local transport - Direct emissions from vehicle use,Local transport,410.0331,0.0,0.0,410.0331,0.0
S1,Scenario 1,2027,food_and_drink_meat,Food and drink - Meat,Food and drink,289.9323,0.0,0.0,289.9323,0.0
S1,Scenario 1,2027,housing_imputed_rent_for_owned_permanent_dwelling,Housing - Imputed rent for owned permanent dwelling,Housing,240.1408,0.0,0.0,240.1408,0.0
S1,Scenario 1,2027,food_and_drink_milk_cheese_other_dairy_products_and_eggs,"Food and drink - Milk, cheese, other dairy products and eggs",Food and drink,229.2876,0.0,0.0,229.2876,0.0
S1,Scenario 1,2027,other_consumption_hotels_cafes_and_restaurants,"Other consumption - Hotels, cafés and restaurants",Other consumption,200.3526,0.0,0.0,200.3526,0.0
S1,Scenario 1,2027,clothing_and_shoes_clothing,Clothing and shoes - Clothing,Clothing and shoes,177.6083,0.0,0.0,177.6083,0.0
S1,Scenario 1,2027,food_and_drink_vegetables_root_crops_and_legumes,"Food and drink - Vegetables, root crops and legumes",Food and drink,145.0465,0.0,0.0,145.0465,0.0
S1,Scenario 1,2027,local_transport_fuels_and_lubricants,Local transport - Fuels and lubricants,Local transport,124.8679,0.0,0.0,124.8679,0.0
S1,Scenario 1,2027,food_and_drink_fruit_and_nuts,Food and drink - Fruit and nuts,Food and drink,122.7708,0.0,0.0,122.7708,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_package_holidays,"Leisure, sport and culture - Package holidays","Leisure, sport and culture",121.6209,0.0,0.0,121.6209,0.0
S1,Scenario 1,2027,housing_actual_rent_for_rented_permanent_dwelling,Housing - Actual rent for rented permanent dwelling,Housing,124.7562,0.0,0.0,124.7562,0.0
S1,Scenario 1,2027,local_transport_cars,Local transport - Cars,Local transport,104.1669,0.0,0.0,104.1669,0.0
S1,Scenario 1,2027,food_and_drink_bread_and_cereal_products,Food and drink - Bread and cereal products,Food and drink,104.6514,0.0,0.0,104.6514,0.0
S1,Scenario 1,2027,food_and_drink_sugar_confectionery_and_desserts,"Food and drink - Sugar, confectionery and desserts",Food and drink,102.6101,0.0,0.0,102.6101,0.0
S1,Scenario 1,2027,other_consumption_furniture_furnishings_and_carpets,"Other consumption - Furniture, furnishings and carpets",Other consumption,93.87308,0.0,0.0,93.87308,0.0
S1,Scenario 1,2027,other_consumption_information_and_communication_equipment,Other consumption - Information and communication equipment,Other consumption,85.56549,0.0,0.0,85.56549,0.0
S1,Scenario 1,2027,other_consumption_medicines,Other consumption - Medicines,Other consumption,85.34169,0.0,0.0,85.34169,0.0
S1,Scenario 1,2027,food_and_drink_ready_made_meals_and_other_food_products,Food and drink - Ready-made meals and other food products,Food and drink,83.47034,0.0,0.0,83.47034,0.0
